Unique Key,Latitude,Longitude
1,40.739433,-73.984589
2,40.763622,-73.956329
3,40.782913,-73.952583
4,40.752377,-73.977135
5,40.766903,-73.993942
6,40.709335,-74.015617
7,40.719536,-74.00544
8,40.761375,-73.997559
9,40.744957,-73.991425
10,40.738136,-73.977791
11,40.769009,-73.862801
12,40.735386,-73.989685
13,40.77187,-73.967407
14,40.723118,-73.99675
15,40.760384,-73.980453
16,40.745632,-73.980194
17,40.758751,-73.970566
18,40.773407,-73.959976
19,40.778782,-73.981552
20,40.74419,-73.984276
21,40.753242,-73.996338
22,40.770599,-73.959999
23,40.720604,-73.993866
24,40.732071,-74.003731
25,40.708614,-74.002556
26,40.676392,-74.001076
27,40.711338,-74.010155
28,40.815269,-73.958817
29,40.732136,-73.988205
30,40.778419,-73.960464
31,40.790997,-73.974617
32,40.781937,-73.975334
33,40.77317,-73.885361
34,40.722683,-73.982849
35,40.766956,-73.956741
36,40.709934,-73.962479
37,40.765556,-73.982277
38,40.748547,-73.975601
39,40.755802,-73.987556
40,40.782944,-73.982155
41,40.767612,-73.980614
42,40.749256,-73.979103
43,40.766315,-73.990486
44,40.742985,-73.996666
45,40.748688,-73.989334
46,40.723934,-73.988091
47,40.841484,-73.942238
48,40.778606,-73.9813
49,40.709816,-74.009911
50,40.756119,-73.994865
51,40.771778,-73.982498
52,40.779099,-73.962311
53,40.724136,-73.99617
54,40.78429,-73.977531
55,40.783054,-73.94503
56,40.803501,-73.967201
57,40.735085,-73.990059
58,40.741821,-73.989601
59,40.757111,-73.990822
60,40.799419,-73.963234
61,40.770035,-73.961655
62,40.762592,-73.968216
63,40.743587,-73.979683
64,40.746838,-73.993629
65,40.741814,-73.989059
66,40.740585,-73.99453
67,40.810505,-73.962074
68,40.756634,-73.9897
69,40.7747,-73.988647
70,40.754051,-73.966042
71,40.80748,-73.945656
72,0.0,0.0
73,40.790997,-73.96875
74,40.7258,-74.008598
75,40.738098,-73.999977
76,40.744003,-73.951302
77,40.724659,-73.995796
78,40.785378,-73.969559
79,40.785633,-73.954239
80,40.783352,-73.974457
81,40.779263,-73.988281
82,40.75444,-73.999397
83,40.7579,-73.969803
84,40.802673,-73.968178
85,40.72477,-73.987328
86,40.783131,-73.959282
87,40.757565,-73.972145
88,40.716671,-73.99736
89,40.730251,-73.992966
90,40.76012,-73.978996
91,40.749371,-74.027222
92,40.737003,-74.002213
93,40.763809,-73.976303
94,40.7439,-73.983704
95,40.744102,-74.006767
96,40.719772,-73.987404
97,40.760937,-73.977997
98,40.724152,-73.99601
99,40.799114,-73.962631
100,40.742973,-73.992805
101,40.77631,-73.979622
102,40.760876,-73.970749
103,40.744358,-73.986053
104,40.759193,-73.988167
105,40.763607,-73.967255
106,40.67503,-73.941841
107,40.763363,-73.981277
108,40.757336,-73.984894
109,40.755459,-73.968216
110,40.777,-73.986801
111,40.788513,-73.970497
112,40.730232,-73.986511
113,40.729141,-73.998016
114,40.771091,-73.987267
115,40.755226,-73.978775
116,40.72364,-73.991264
117,0.0,0.0
118,40.742863,-73.982529
119,40.755482,-73.975075
120,40.76041,-73.971489
121,40.732052,-74.000977
122,40.768253,-73.982262
123,40.752453,-73.977486
124,40.727131,-73.993576
125,40.768646,-73.963501
126,40.703064,-74.014679
127,40.716358,-74.009254
128,40.750076,-73.994164
129,40.751579,-73.990059
130,40.747036,-74.0009
131,40.762089,-73.98214
132,40.75705,-73.976425
133,40.765606,-73.954803
134,40.773354,-73.978134
135,40.749546,-73.975128
136,40.759499,-73.976097
137,40.72718,-73.995216
138,40.743111,-73.951202
139,40.775013,-73.960655
140,40.739525,-74.00544
141,40.762547,-73.994553
142,40.750908,-73.994186
143,40.750027,-73.977592
144,40.806808,-73.964935
145,40.778721,-73.985947
146,40.766193,-73.967522
147,40.747784,-73.988144
148,40.750004,-73.974342
149,40.759556,-73.965202
150,40.763741,-73.971199
151,40.731606,-73.989479
152,40.714481,-73.992683
153,40.728935,-73.995689
154,40.733509,-74.00296
155,40.719109,-73.975349
156,40.770004,-73.984222
157,40.766811,-73.986633
158,40.783108,-73.950836
159,40.753998,-73.973801
160,40.789619,-73.952362
161,40.72036,-73.989235
162,40.776066,-73.947311
163,40.753738,-73.969307
164,40.779312,-73.958015
165,40.758739,-73.971954
166,40.761852,-73.982414
167,40.729889,-74.004974
168,40.775429,-73.982262
169,40.742901,-74.000099
170,40.743092,-73.993439
171,40.762608,-73.979057
172,40.783447,-73.958755
173,40.740662,-74.00515
174,40.77515,-73.961128
175,40.771969,-73.95211
176,40.761051,-73.994698
177,40.741089,-73.978569
178,40.750301,-73.986191
179,40.73896,-73.980255
180,40.759144,-73.967667
181,40.726158,-73.983429
182,40.759041,-73.972107
183,40.753368,-73.98912
184,40.720287,-73.997993
185,40.752132,-73.991356
186,40.756271,-73.970665
187,40.758121,-73.966339
188,40.825035,-73.951607
189,40.77396,-73.874489
190,40.725124,-74.004257
191,40.75264,-73.98143
192,40.778709,-73.948044
193,40.754807,-73.98024
194,40.734169,-73.989975
195,40.770058,-73.863617
196,40.822193,-73.95372
197,40.772209,-73.960846
198,40.760773,-73.958855
199,40.771137,-73.959534
200,40.756851,-73.967476
